	~venusandadonis 5~sonnets 1~loverscomplaint 14
'	~rapeoflucrece 2
A	~venusandadonis 12~various 12~sonnets 17~rapeoflucrece 18~loverscomplaint 5
ADONIS	~venusandadonis 1
ADVENTURER	~sonnets 1
AEtna	~rapeoflucrece 1
ALL	~sonnets 1
AND	~venusandadonis 2~various 1~sonnets 1
ANSWER	~various 1
ARGUMENT	~rapeoflucrece 1
About	~rapeoflucrece 2
Above	~sonnets 1
Accomplish'd	~loverscomplaint 1
Accuse	~sonnets 1
Achilles	~rapeoflucrece 1
Add	~rapeoflucrece 1
Adieu	~venusandadonis 1
Admit	~sonnets 1
Adon	~venusandadonis 1~various 1
Adon's	~various 1
Adonis	~venusandadonis 16~various 5~sonnets 1
Adons	~venusandadonis 1
Advantage	~sonnets 1
Advice	~rapeoflucrece 1
Affection	~venusandadonis 2~rapeoflucrece 1
Affection's	~venusandadonis 1
Afflict	~rapeoflucrece 1
After	~sonnets 2
Against	~venusandadonis 1~sonnets 10~rapeoflucrece 3~loverscomplaint 1
Age	~various 2
Ah	~various 3~sonnets 5
Air	~various 2
Ajax	~rapeoflucrece 2
Alack	~sonnets 1
Alas	~venusandadonis 2~various 1~sonnets 2~rapeoflucrece 1
All	~venusandadonis 3~various 13~sonnets 10~rapeoflucrece 5~loverscomplaint 5
Although	~various 1~sonnets 5
Am	~sonnets 1
Amazedly	~rapeoflucrece 1
Amen	~sonnets 1
Among	~sonnets 1
An	~venusandadonis 2~sonnets 1~rapeoflucrece 3
And	~venusandadonis 116~various 37~sonnets 242~rapeoflucrece 175~loverscomplaint 29
Angry	~sonnets 1
Anon	~venusandadonis 4~various 2~sonnets 1~rapeoflucrece 1
Another	~venusandadonis 2~sonnets 1~rapeoflucrece 2
Answer'd	~rapeoflucrece 1
Apollo	~venusandadonis 1
Appals	~venusandadonis 1
Appear	~loverscomplaint 1
Applied	~loverscomplaint 1
Applying	~venusandadonis 1~sonnets 1
April	~sonnets 3~rapeoflucrece 1~loverscomplaint 1
April's	~sonnets 1
Arabian	~various 1
Ardea	~rapeoflucrece 3
Are	~venusandadonis 4~sonnets 3~rapeoflucrece 4~loverscomplaint 1
Argued	~rapeoflucrece 1
Art	~venusandadonis 3~sonnets 2
As	~venusandadonis 19~various 10~sonnets 40~rapeoflucrece 30~loverscomplaint 4
Ask'd	~loverscomplaint 1
Askance	~sonnets 1
Assail'd	~rapeoflucrece 1
At	~venusandadonis 2~sonnets 5~rapeoflucrece 12
Attending	~sonnets 1
Augur	~various 1
Authority	~rapeoflucrece 1
Authorizing	~sonnets 1
Awake	~rapeoflucrece 1
Awakes	~sonnets 1
Away	~venusandadonis 1~rapeoflucrece 1
Ay	~venusandadonis 2~sonnets 2~rapeoflucrece 1~loverscomplaint 1
BARON	~venusandadonis 1
BEGETTER	~sonnets 1
BY	~sonnets 1
Back	~rapeoflucrece 1
Backward	~venusandadonis 1
Bad	~various 1
Banning	~venusandadonis 1
Bare	~sonnets 1~rapeoflucrece 1
Baron	~rapeoflucrece 1
Base	~rapeoflucrece 1
Basely	~rapeoflucrece 1
Be	~venusandadonis 3~various 1~sonnets 9~rapeoflucrece 3
Bear	~sonnets 1
Bearing	~sonnets 2~rapeoflucrece 1
Beasts	~various 1
Beat	~rapeoflucrece 1
Beated	~sonnets 1
Beaten	~rapeoflucrece 1
Beating	~venusandadonis 1~rapeoflucrece 1
Beauteous	~sonnets 1
Beauty	~venusandadonis 2~various 3~sonnets 2~rapeoflucrece 1
Beauty's	~sonnets 1
Because	~venusandadonis 2~various 1~sonnets 2
Become	~rapeoflucrece 1
Before	~venusandadonis 1~sonnets 3~rapeoflucrece 1
Began	~rapeoflucrece 1
Beggar'd	~sonnets 1
Begins	~rapeoflucrece 2
Begrimed	~rapeoflucrece 1
Behind	~venusandadonis 1
Being	~venusandadonis 10~sonnets 4~rapeoflucrece 3
Believed	~loverscomplaint 1
Beshrew	~sonnets 1
Besides	~rapeoflucrece 3
Betray'd	~rapeoflucrece 1
Better	~sonnets 1
Between	~venusandadonis 1~various 1~rapeoflucrece 1
Betwixt	~sonnets 1
Bewitching	~venusandadonis 1
Beyond	~sonnets 1
Bid	~venusandadonis 1~rapeoflucrece 2
Bidding	~loverscomplaint 1
Bids	~venusandadonis 2
Big	~loverscomplaint 1
Birds	~rapeoflucrece 1
Black	~rapeoflucrece 2
Blessed	~sonnets 1
Blind	~rapeoflucrece 1
Blue	~rapeoflucrece 1
Blushing	~rapeoflucrece 1
Bonnet	~venusandadonis 1
Book	~sonnets 1
Borne	~sonnets 1~rapeoflucrece 1
Both	~venusandadonis 2~sonnets 3~rapeoflucrece 2~loverscomplaint 1
Bound	~sonnets 1
Bountiful	~various 1
Brand	~rapeoflucrece 1
Braving	~rapeoflucrece 1
Breaketh	~venusandadonis 1
Breathed	~sonnets 1
Bright	~various 1
Brighter	~various 1
Bring	~sonnets 1
Brings	~rapeoflucrece 1
Broad	~venusandadonis 1
Brutus	~rapeoflucrece 5
Bud	~venusandadonis 1
Burneth	~venusandadonis 1
Burying	~rapeoflucrece 1
Busy	~rapeoflucrece 1
But	~venusandadonis 39~various 12~sonnets 89~rapeoflucrece 64~loverscomplaint 6
Buy	~sonnets 1
By	~venusandadonis 7~various 2~sonnets 14~rapeoflucrece 19~loverscomplaint 2
C	~sonnets 1
CI	~sonnets 1
CII	~sonnets 1
CIII	~sonnets 1
CIV	~sonnets 1
CIX	~sonnets 1
CL	~sonnets 1
CLI	~sonnets 1
CLII	~sonnets 1
CLIII	~sonnets 1
CLIV	~sonnets 1
COMPLAINT	~loverscomplaint 1
CV	~sonnets 1
CVI	~sonnets 1
CVII	~sonnets 1
CVIII	~sonnets 1
CX	~sonnets 1
CXI	~sonnets 1
CXII	~sonnets 1
CXIII	~sonnets 1
CXIV	~sonnets 1
CXIX	~sonnets 1
CXL	~sonnets 1
CXLI	~sonnets 1
CXLII	~sonnets 1
CXLIII	~sonnets 1
CXLIV	~sonnets 1
CXLIX	~sonnets 1
CXLV	~sonnets 1
CXLVI	~sonnets 1
CXLVII	~sonnets 1
CXLVIII	~sonnets 1
CXV	~sonnets 1
CXVI	~sonnets 1
CXVII	~sonnets 1
CXVIII	~sonnets 1
CXX	~sonnets 1
CXXI	~sonnets 1
CXXII	~sonnets 1
CXXIII	~sonnets 1
CXXIV	~sonnets 1
CXXIX	~sonnets 1
CXXV	~sonnets 1
CXXVI	~sonnets 1
CXXVII	~sonnets 1
CXXVIII	~sonnets 1
CXXX	~sonnets 1
